player_id,player,nationality,squad,birth_year,value,height,position,foot,league,games,games_starts,minutes,goals_2018,goals_2019,pens_2018,pens_2019,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,MatÃ­as Silvestre,ar ARG,Sampdoria,1984,1500000,185,Defender - Centre-Back,right,Serie A,34,34,3060,1,0,0,0,3,0,0.03,0,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,Igor Zubeldia,es ESP,Real Sociedad,1997,5000000,180,midfield - Defensive Midfield,right,La Liga,25,16,1589,1,2,0,0,4,2,0.06,0.11,0.17,0.06,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,Ãlvaro MedrÃ¡n,es ESP,Valencia,1994,1800000,177,midfield - Central Midfield,right,La Liga,1,1,72,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Morgan Amalfitano,fr FRA,Rennes,1985,50000,178,attack - Right Winger,right,Ligue 1,14,10,747,0,0,0,0,2,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mehdi Abeid,dz ALG,Dijon,1992,1750000,178,midfield - Central Midfield,right,Ligue 1,19,14,1176,0,1,0,0,2,0,0,0.08,0.08,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Ludovic Baal,gf GUF,Rennes,1986,1000000,176,Defender - Left-Back,left,Ligue 1,17,14,1159,0,1,0,0,0,0,0,0.08,0.08,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Ramy Bensebaini,dz ALG,Rennes,1995,8000000,186,Defender - Left-Back,left,Ligue 1,29,26,2342,0,1,0,0,6,0,0,0.04,0.04,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Nicolas Haas,ch SUI,Atalanta,1996,1500000,178,midfield - Central Midfield,right,Serie A,9,1,171,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Everton Luiz,br BRA,SPAL,1988,2000000,173,midfield - Defensive Midfield,right,Serie A,11,7,642,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000805477,0.013693113,0.169150222,0.021747886,0,0,0.045912203,0.003221909,0.010068466
1545,Gabriele Marchegiani,it ITA,SPAL,1996,20000,189,Goalkeeper,right,Serie A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003406326,0.055961071,0.533819951,0.007785888,0.00486618,0.001946472,0.117761557,0.01703163,0.006812652
1591,Federico Mattiello,it ITA,SPAL,1995,2500000,184,Defender - Right-Back,right,Serie A,29,24,2204,0,0,0,0,7,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002699055,0.030364372,0.398110661,0.076248313,0.004048583,0.001349528,0.100539811,0.004048583,0.018893387
1647,Alex Meret,it ITA,SPAL,1997,12000000,190,Goalkeeper,left,Serie A,13,13,1158,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000383142,0.028735632,0.642911877,0.027586207,0.024521073,0,0.07816092,0.007662835,0.000383142
2252,Pasquale Schiattarella,it ITA,SPAL,1987,1200000,177,midfield - Central Midfield,right,Serie A,31,22,1990,1,3,0,0,12,0,0.05,0.14,0.18,0.05,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.006595823,0.16123122,0.02235251,0.000366435,0.000366435,0.034078417,0.001099304,0.001832173
